Term,edf,Ref.df,F,p_value,Deviance_Median,Deviance_CI_Lower,Deviance_CI_Upper,Eta_Sq_Median,Eta_Sq_CI_Lower,Eta_Sq_CI_Upper,Amplitude_Median,Amplitude_CI_Lower,Amplitude_CI_Upper,RMS_Median,RMS_CI_Lower,RMS_CI_Upper
s(RipplePower_Z),1.636531485,2.020371788,5.918659981,0.002663356,0.032014058,0.00569614,0.077009761,0.000293094,6.39821708155142e-05,0.000713095,0.031712195,0.014258927,0.055144303,0.009227658,0.004070892,0.015752195
s(SpindlePower_Match_Z),1.000524397,1.001048042,4.842137427,0.027738473,0.017922004,0.000418851,0.055276078,0.00015872,7.56907608679336e-06,0.00047764,0.026839274,0.006745291,0.050281212,0.008254506,0.001986671,0.014397745
s(SpindlePower_NonMatch_Z),1.473436034,1.802518028,0.888718663,0.499688602,0.009616518,7.01752368298808e-06,0.039716851,6.87211881874007e-05,4.67528100533653e-07,0.000310027,0.017940096,0.001467603,0.045404322,0.005170238,0.000431467,0.011338693
"ti(SOPhase_Match,SOPhase_NonMatch)",9.1327712,36,0.661174966,0.000414187,0.161178263,0.069888758,0.294604567,0.000485113,0.000109702,0.00140244,0.080387945,0.039526206,0.132779331,0.015782584,0.008439622,0.023599743
s(SOPhase_Match),2.648656295,6,3.850020218,2.68147148330122e-06,0.061954228,0.017246937,0.12663369,0.000318769,8.04792132939567e-05,0.000772663,0.037647405,0.020848005,0.055000413,0.012939939,0.007216917,0.018389027
s(SOPhase_NonMatch),3.827781908,6,4.389866609,4.26568895917079e-06,0.099050647,0.037326562,0.180576807,0.000567937,0.000135914,0.001231472,0.044017512,0.022786422,0.063488226,0.013229422,0.007213924,0.018585404
s(AnimalID),0.516552764,1,2.681065659,0.15031948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s(SessionID),9.011980313,21,0.817682163,0.013014266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
R-sq.(adj),0.00259,,,,,,,,,,,,,,,
Deviance explained ,0.33%,,,,,,,,,,,,,,,
n,40259,,,,,,,,,,,,,,,
