Term,edf,Ref.df,F,p_value,Deviance_Median,Deviance_CI_Lower,Deviance_CI_Upper,Eta_Sq_Median,Eta_Sq_CI_Lower,Eta_Sq_CI_Upper,Amplitude_Median,Amplitude_CI_Lower,Amplitude_CI_Upper,RMS_Median,RMS_CI_Lower,RMS_CI_Upper
s(RipplePower_Z),1.162100928,1.305276718,9.625179981,0.000535696,0.038486312,0.007019031,0.089776118,0.000372949,8.87269844844334e-05,0.000861209,0.034900483,0.017135524,0.060829129,0.010228398,0.004975872,0.0163679
s(SpindlePower_Match_Z),1.001007932,1.002014702,8.437206141,0.00366125,0.025170403,0.001075608,0.068275199,0.000226019,2.57447932608452e-05,0.00061764,0.02966046,0.010725952,0.053260948,0.009176386,0.003175801,0.015957643
s(SpindlePower_NonMatch_Z),1.00086067,1.001720408,0.438873647,0.507506965,0.004340156,-0.00771813,0.033498441,3.51431707474084e-05,1.16358398365977e-07,0.000254662,0.012200137,0.000736721,0.044288174,0.003589413,0.000217038,0.010441863
"ti(SOPhase_Match,SOPhase_NonMatch)",8.365410895,36,0.587493323,0.000788363,0.138464159,0.053690092,0.247821317,0.000372034,6.77234873252734e-05,0.001052286,0.064603372,0.030172722,0.105961016,0.013197504,0.006451421,0.019443242
s(SOPhase_Match),2.675388843,6,3.956237612,1.53907638822393e-06,0.064658848,0.020943914,0.12724569,0.000324659,7.57682764351475e-05,0.000786416,0.034062089,0.018296378,0.05059834,0.011663817,0.006357483,0.016892779
s(SOPhase_NonMatch),3.454017899,6,3.654161168,2.36471517472969e-05,0.073752474,0.020503981,0.147624424,0.000425667,8.80365346161321e-05,0.001033974,0.033812389,0.016789098,0.051256054,0.010904727,0.005598053,0.016134489
s(AnimalID),0.687187697,1,9.03821772,0.073757075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s(SessionID),10.51310629,21,1.074527598,0.003618274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
R-sq.(adj),0.00285,,,,,,,,,,,,,,,
Deviance explained ,0.36%,,,,,,,,,,,,,,,
n,40256,,,,,,,,,,,,,,,
