Term,edf,Ref.df,F,p_value,Deviance_Median,Deviance_CI_Lower,Deviance_CI_Upper,Eta_Sq_Median,Eta_Sq_CI_Lower,Eta_Sq_CI_Upper,Amplitude_Median,Amplitude_CI_Lower,Amplitude_CI_Upper,RMS_Median,RMS_CI_Lower,RMS_CI_Upper
s(RipplePower_Z),1.403062959,1.689216323,7.840033768,0.000630816,0.058675456,0.019385695,0.120335777,0.000455873,0.0001199,0.000990738,0.043050186,0.022532582,0.07016265,0.01290294,0.006627001,0.020396162
s(SpindlePower_Match_Z),1.000600085,1.001199417,6.843115594,0.008877079,0.015823694,-0.000745651,0.056607795,0.000165967,1.01520142579084e-05,0.000496801,0.032516052,0.008308038,0.05980536,0.009909996,0.002447041,0.017667937
s(SpindlePower_NonMatch_Z),1.01046869,1.02085061,0.077226033,0.788128009,0.010820208,-0.000536387,0.051780672,5.50524682158386e-05,1.97328688451571e-07,0.000295479,0.019565708,0.001324955,0.052604349,0.005646129,0.000386382,0.01350172
"ti(SpindlePower_Match_Z,SpindlePower_NonMatch_Z)",1.002410095,1.004816527,2.714047366,0.098994334,0.03452847,0.000277721,0.09480334,0.000204345,7.1187216140995e-06,0.000615087,0.103479211,0.015033802,0.241398474,0.012596519,0.002445702,0.024216391
"ti(SOPhase_Match,SOPhase_NonMatch)",9.059379989,36,0.639254311,0.000579828,0.161103641,0.065490017,0.295359749,0.000481274,0.000101646,0.001422747,0.080334638,0.03844822,0.133301967,0.01576333,0.007993613,0.023634505
s(SOPhase_Match),3.095123691,6,5.525467114,2.00E-16,0.082759731,0.021496314,0.172157508,0.000529321,0.000176837,0.001115337,0.059128148,0.035387506,0.08421602,0.020165196,0.012285642,0.028408778
s(SOPhase_NonMatch),3.819305587,6,4.318669532,5.16360493740819e-06,0.093573424,0.033855937,0.17643567,0.000552356,0.000126425,0.001187733,0.043402631,0.022223678,0.062749273,0.013056057,0.006955502,0.018442135
"ti(RipplePower_Z,SOPhase_Match)",8.058143033,24,0.944876603,0.000495787,0.136670168,0.042874599,0.234722555,0.000480746,5.88966445299575e-05,0.001156691,0.080865703,0.033329313,0.149166246,0.015740981,0.006915106,0.024469932
s(AnimalID),0.504675428,1,2.428466721,0.155296141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s(SessionID),8.78136607,21,0.780484069,0.015803684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
R-sq.(adj),0.00318,,,,,,,,,,,,,,,
Deviance explained ,0.41%,,,,,,,,,,,,,,,
