Term,edf,Ref.df,F,p_value,Deviance_Median,Deviance_CI_Lower,Deviance_CI_Upper,Eta_Sq_Median,Eta_Sq_CI_Lower,Eta_Sq_CI_Upper,Amplitude_Median,Amplitude_CI_Lower,Amplitude_CI_Upper,RMS_Median,RMS_CI_Lower,RMS_CI_Upper
s(RipplePower_Z),1.003086052,1.006072926,21.44513145,3.58030451724778e-06,0.068344065,0.022837048,0.134880817,0.000568691,0.000182505,0.001149426,0.045369336,0.024277992,0.073425922,0.013566377,0.007180788,0.020364816
s(SpindlePower_Match_Z),1.000484825,1.000969053,9.502894297,0.002047512,0.022303492,-4.46E-05,0.069245912,0.000240133,3.78422217025864e-05,0.000664915,0.034919444,0.014794028,0.06116263,0.010938231,0.004368721,0.018327576
s(SpindlePower_NonMatch_Z),1.000279865,1.00055944,0.060052535,0.806750962,0.006482294,-0.001353066,0.048384533,3.44571347368174e-05,9.71713983501272e-08,0.000285601,0.014089644,0.000744739,0.050957709,0.004044022,0.000219803,0.012174685
"ti(SpindlePower_Match_Z,SpindlePower_NonMatch_Z)",1.003615832,1.007226925,1.211477579,0.270001586,0.025589708,2.71009080575119e-05,0.076982532,0.00015318,1.69283084652851e-06,0.000493059,0.081567713,0.006426512,0.188271861,0.009882151,0.001029268,0.019786166
"ti(SOPhase_Match,SOPhase_NonMatch)",8.275835042,36,0.567779776,0.001050294,0.135017622,0.05460883,0.249346396,0.000365527,7.15854392614817e-05,0.001061693,0.064002626,0.03082209,0.105290754,0.013119494,0.006422963,0.019460404
s(SOPhase_Match),3.051561315,6,5.378424722,0,0.074772222,0.019324775,0.164479589,0.000452904,0.000137091,0.001026427,0.049695921,0.028649364,0.072785121,0.017120189,0.009750863,0.024922207
s(SOPhase_NonMatch),3.443025519,6,3.54998531,3.35197775915841e-05,0.069016518,0.019840846,0.141296529,0.000407854,7.31267065859414e-05,0.000997511,0.033091563,0.016093448,0.05063227,0.010689091,0.005236838,0.01582
"ti(RipplePower_Z,SOPhase_Match)",8.366985113,24,0.957707429,0.00068325,0.137891822,0.047464675,0.242143743,0.000499695,6.59609180716607e-05,0.00125616,0.075959954,0.032808133,0.150434955,0.014108716,0.005959973,0.022551363
s(AnimalID),0.685679516,1,8.672503882,0.07444954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s(SessionID),10.36176002,21,1.041763877,0.004377681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,
R-sq.(adj),0.00343,,,,,,,,,,,,,,,
Deviance explained ,0.44%,,,,,,,,,,,,,,,
